model,registration,gear,fuel,tax,mpg,engineSize,make,car_age,price,mileage,car,class
A1,2017,Manual,Petrol,0,67.3,1.0,Audi,6,12767.999999999998,56031.816,Audi A1,Small car
A1,2017,Manual,Petrol,30,55.4,1.4,Audi,6,14591.999999999998,32744.759,Audi A1,Small car
A5,2017,Automatic,Diesel,145,62.8,2.0,Audi,6,22799.999999999996,72055.847,Audi A5,Large family car
A3,2013,Manual,Diesel,0,74.3,1.6,Audi,10,9462.0,159194.46,Audi A3,Small family car
A1,2016,Manual,Petrol,30,58.9,1.4,Audi,7,15389.999999999998,36653.02,Audi A1,Small car
A5,2018,Manual,Petrol,150,47.1,2.0,Audi,5,22571.999999999996,33518.688,Audi A5,Large family car
Q3,2016,Automatic,Diesel,145,55.4,2.0,Audi,7,17556.0,46976.364,Audi Q3,Compact SUV
A1,2016,Manual,Petrol,0,67.3,1.0,Audi,7,12083.999999999998,34477.652,Audi A1,Small car
Q3,2016,Manual,Diesel,30,60.1,2.0,Audi,7,16758.0,52620.736,Audi Q3,Compact SUV
Q3,2018,Automatic,Petrol,145,42.2,2.0,Audi,5,21773.999999999996,67914.281,Audi Q3,Compact SUV
A1,2017,Manual,Petrol,0,67.3,1.0,Audi,6,12995.999999999998,47489.635,Audi A1,Small car
A3,2014,Manual,Diesel,20,67.3,2.0,Audi,9,13223.999999999998,70252.158,Audi A3,Small family car
A3,2014,Semi-Auto,Petrol,125,50.4,1.8,Audi,9,13107.72,65658.463,Audi A3,Small family car
Q3,2014,Manual,Diesel,160,49.6,2.0,Audi,9,13335.72,106128.031,Audi Q3,Compact SUV
A5,2014,Semi-Auto,Diesel,160,49.6,3.0,Audi,9,15957.72,83880.388,Audi A5,Large family car
A1,2017,Manual,Petrol,150,55.4,1.4,Audi,6,15384.3,55597.386,Audi A1,Small car
Q3,2018,Semi-Auto,Petrol,150,47.9,1.4,Audi,5,27342.899999999998,27489.765,Audi Q3,Compact SUV
A1,2017,Manual,Diesel,20,72.4,1.6,Audi,6,14232.9,77499.094,Audi A1,Small car
A5,2015,Manual,Diesel,30,61.4,2.0,Audi,8,18807.719999999998,75038.933,Audi A5,Large family car
A3,2016,Manual,Diesel,0,74.3,1.6,Audi,7,13677.72,39369.012,Audi A3,Small family car
A3,2019,Manual,Diesel,145,51.4,1.6,Audi,4,20502.899999999998,13594.441,Audi A3,Small family car
A5,2017,Manual,Diesel,30,65.7,2.0,Audi,6,23352.899999999998,55798.511,Audi A5,Large family car
A3,2018,Semi-Auto,Petrol,145,60.1,1.0,Audi,5,19362.899999999998,38390.74,Audi A3,Small family car
A3,2019,Semi-Auto,Petrol,145,42.2,1.5,Audi,4,25062.899999999998,3263.052,Audi A3,Small family car
A5,2019,Automatic,Petrol,145,39.8,2.0,Audi,4,33042.899999999994,28.962,Audi A5,Large family car
A3,2019,Automatic,Petrol,145,41.5,1.5,Audi,4,34182.899999999994,5023.298,Audi A3,Small family car
A1,2019,Semi-Auto,Petrol,145,48.7,1.0,Audi,4,20502.899999999998,3623.468,Audi A1,Small car
A1,2015,Semi-Auto,Petrol,30,57.6,1.4,Audi,8,14232.9,42839.625,Audi A1,Small car
A5,2018,Automatic,Petrol,145,50.4,2.0,Audi,5,28482.899999999998,8159.239,Audi A5,Large family car
A5,2015,Semi-Auto,Petrol,260,34.9,3.0,Audi,8,25062.899999999998,45069.699,Audi A5,Large family car
Q3,2019,Automatic,Diesel,145,47.1,2.0,Audi,4,39882.899999999994,16.09,Audi Q3,Compact SUV
A5,2019,Automatic,Diesel,145,51.4,2.0,Audi,4,34182.899999999994,16.09,Audi A5,Large family car
Q3,2019,Automatic,Diesel,145,47.1,2.0,Audi,4,39312.899999999994,16.09,Audi Q3,Compact SUV
A1,2019,Manual,Petrol,145,49.6,1.0,Audi,4,22440.899999999998,16.09,Audi A1,Small car
A3,2019,Automatic,Petrol,145,44.8,1.5,Audi,4,27342.899999999998,16.09,Audi A3,Small family car
A5,2019,Automatic,Petrol,145,39.8,2.0,Audi,4,33042.899999999994,16.09,Audi A5,Large family car
A5,2019,Automatic,Petrol,145,39.8,2.0,Audi,4,31902.899999999998,1625.09,Audi A5,Large family car
A3,2019,Manual,Diesel,145,54.3,1.6,Audi,4,25074.3,16.09,Audi A3,Small family car
A5,2019,Automatic,Petrol,145,39.8,2.0,Audi,4,36462.899999999994,16.09,Audi A5,Large family car
A5,2019,Automatic,Diesel,145,51.4,2.0,Audi,4,37032.899999999994,16.09,Audi A5,Large family car
A3,2019,Manual,Diesel,145,51.4,1.6,Audi,4,24264.899999999998,16.09,Audi A3,Small family car
A3,2014,Semi-Auto,Petrol,160,42.8,1.8,Audi,9,17094.3,44014.195,Audi A3,Small family car
A3,2014,Automatic,Petrol,30,56.5,1.2,Audi,9,12522.9,16949.206,Audi A3,Small family car
A3,2016,Manual,Diesel,20,70.6,2.0,Audi,7,14814.3,41665.055,Audi A3,Small family car
A1,2016,Manual,Petrol,0,67.3,1.0,Audi,7,13104.3,52883.003,Audi A1,Small car
A5,2019,Automatic,Petrol,145,40.4,2.0,Audi,4,33612.899999999994,16.09,Audi A5,Large family car
A5,2017,Semi-Auto,Diesel,145,62.8,2.0,Audi,6,26217.719999999998,43344.851,Audi A5,Large family car
A5,2019,Automatic,Petrol,145,40.4,2.0,Audi,4,31914.299999999996,16.09,Audi A5,Large family car
Q3,2019,Manual,Diesel,145,42.8,2.0,Audi,4,36462.899999999994,16.09,Audi Q3,Compact SUV
A3,2017,Semi-Auto,Petrol,30,56.5,1.4,Audi,6,21657.719999999998,35872.655,Audi A3,Small family car
A3,2018,Manual,Petrol,150,42.2,1.5,Audi,5,22794.3,40225.0,Audi A3,Small family car
A5,2014,Semi-Auto,Diesel,125,60.1,2.0,Audi,9,14817.72,130171.318,Audi A5,Large family car
A1,2019,Manual,Petrol,145,48.7,1.0,Audi,4,23352.899999999998,16.09,Audi A1,Small car
Q3,2016,Manual,Diesel,145,52.3,2.0,Audi,7,21315.719999999998,42596.666,Audi Q3,Compact SUV
Q3,2019,Automatic,Diesel,145,47.1,2.0,Audi,4,41022.899999999994,1045.85,Audi Q3,Compact SUV
Q3,2018,Manual,Petrol,145,51.4,1.4,Audi,5,22212.899999999998,11515.613,Audi Q3,Compact SUV
Q3,2016,Semi-Auto,Diesel,160,50.4,2.0,Audi,7,22794.3,50844.4,Audi Q3,Compact SUV
A3,2019,Manual,Diesel,145,56.5,2.0,Audi,4,26772.899999999998,16.09,Audi A3,Small family car
A5,2018,Semi-Auto,Petrol,145,45.6,2.0,Audi,5,27357.719999999998,22651.502,Audi A5,Large family car
A5,2015,Manual,Diesel,125,57.6,2.0,Audi,8,20517.719999999998,21419.008,Audi A5,Large family car
A1,2017,Manual,Petrol,150,67.3,1.0,Audi,6,14475.72,17726.353,Audi A1,Small car
Q3,2017,Manual,Petrol,125,51.4,1.4,Audi,6,19719.719999999998,27204.972,Audi Q3,Compact SUV
A3,2018,Automatic,Diesel,145,52.3,1.6,Audi,5,25404.899999999998,10867.186,Audi A3,Small family car
Q3,2014,Semi-Auto,Diesel,200,47.9,2.0,Audi,9,16530.0,56995.606999999996,Audi Q3,Compact SUV
A3,2017,Semi-Auto,Petrol,200,41.5,2.0,Audi,6,28499.999999999996,26875.127,Audi A3,Small family car
Q3,2017,Manual,Petrol,125,51.4,1.4,Audi,6,18012.0,59859.627,Audi Q3,Compact SUV
A3,2013,Semi-Auto,Diesel,125,58.9,2.0,Audi,10,15389.999999999998,71447.645,Audi A3,Small family car
Q3,2014,Manual,Diesel,165,50.4,2.0,Audi,9,13679.999999999998,127736.901,Audi Q3,Compact SUV
A3,2015,Semi-Auto,Diesel,125,57.6,2.0,Audi,8,15731.999999999998,99449.072,Audi A3,Small family car
A1,2016,Manual,Petrol,0,67.3,1.0,Audi,7,12539.999999999998,16880.019,Audi A1,Small car
A3,2018,Manual,Petrol,150,49.6,2.0,Audi,5,22794.3,30571.0,Audi A3,Small family car
A1,2016,Manual,Petrol,0,67.3,1.0,Audi,7,13280.999999999998,30410.1,Audi A1,Small car
A3,2014,Manual,Diesel,20,68.9,2.0,Audi,9,13508.999999999998,81898.1,Audi A3,Small family car
A1,2015,Manual,Petrol,235,39.8,2.0,Audi,8,18234.3,37137.329,Audi A1,Small car
Q3,2019,Manual,Diesel,145,42.8,2.0,Audi,4,36474.299999999996,4915.495,Audi Q3,Compact SUV
A5,2016,Semi-Auto,Petrol,260,35.8,3.0,Audi,7,26217.719999999998,30294.252,Audi A5,Large family car
A3,2014,Manual,Petrol,200,40.4,2.0,Audi,9,18792.899999999998,41454.276,Audi A3,Small family car
A1,2015,Manual,Petrol,30,56.5,1.4,Audi,8,15384.3,27597.568,Audi A1,Small car
A3,2016,Manual,Petrol,20,60.1,1.4,Audi,7,17094.3,47907.975,Audi A3,Small family car
A1,2017,Manual,Petrol,30,57.6,1.4,Audi,6,14244.3,33258.03,Audi A1,Small car
A3,2019,Automatic,Diesel,145,52.3,1.6,Audi,4,28482.899999999998,3631.513,Audi A3,Small family car
A3,2019,Manual,Diesel,145,51.4,1.6,Audi,4,27912.899999999998,6498.751,Audi A3,Small family car
A3,2016,Manual,Petrol,125,52.3,1.4,Audi,7,18792.899999999998,34176.769,Audi A3,Small family car
Q3,2016,Manual,Diesel,160,49.6,2.0,Audi,7,23352.899999999998,27264.505,Audi Q3,Compact SUV
A5,2014,Semi-Auto,Petrol,260,34.9,3.0,Audi,9,18240.0,120930.831,Audi A5,Large family car
Q3,2014,Semi-Auto,Diesel,200,47.9,2.0,Audi,9,17097.719999999998,54451.778,Audi Q3,Compact SUV
A3,2015,Manual,Diesel,20,67.3,2.0,Audi,8,15954.3,69149.993,Audi A3,Small family car
A1,2016,Manual,Petrol,0,67.3,1.0,Audi,7,13674.3,28083.486,Audi A1,Small car
A3,2018,Manual,Petrol,150,56.5,1.5,Audi,5,18234.3,28233.123,Audi A3,Small family car
A3,2020,Semi-Auto,Petrol,150,34.9,2.0,Audi,3,41034.299999999996,505.226,Audi A3,Small family car
A1,2016,Manual,Petrol,30,58.9,1.4,Audi,7,15486.899999999998,40241.09,Audi A1,Small car
A1,2016,Manual,Petrol,0,67.3,1.0,Audi,7,14814.3,47116.347,Audi A1,Small car
A1,2016,Manual,Petrol,30,56.5,1.4,Audi,7,16524.3,33636.145,Audi A1,Small car
A1,2017,Manual,Petrol,0,67.3,1.0,Audi,6,14814.3,39237.074,Audi A1,Small car
A3,2019,Semi-Auto,Petrol,145,43.5,1.5,Audi,4,23922.899999999998,5485.081,Audi A3,Small family car
Q3,2016,Semi-Auto,Petrol,205,40.4,2.0,Audi,7,25074.3,64768.686,Audi Q3,Compact SUV
Q3,2017,Semi-Auto,Petrol,150,42.2,2.0,Audi,6,26214.3,32300.675,Audi Q3,Compact SUV
A3,2016,Manual,Petrol,20,60.1,1.0,Audi,7,18234.3,23171.209,Audi A3,Small family car
A3,2016,Semi-Auto,Petrol,145,47.9,2.0,Audi,7,22794.3,31262.87,Audi A3,Small family car
A1,2014,Manual,Diesel,0,74.3,1.6,Audi,9,13674.3,39845.276,Audi A1,Small car
A1,2014,Manual,Petrol,125,53.3,1.4,Audi,9,13674.3,42060.869,Audi A1,Small car
A5,2020,Semi-Auto,Petrol,145,39.2,2.0,Audi,3,42557.34,12118.988,Audi A5,Large family car
A5,2020,Semi-Auto,Diesel,145,45.6,2.0,Audi,3,44977.56,12751.325,Audi A5,Large family car
A5,2020,Semi-Auto,Petrol,145,39.8,2.0,Audi,3,42757.979999999996,12291.151,Audi A5,Large family car
Q3,2020,Semi-Auto,Diesel,145,48.7,2.0,Audi,3,38146.68,12733.626,Audi Q3,Compact SUV
A3,2019,Semi-Auto,Petrol,150,34.5,2.0,Audi,4,35334.299999999996,7319.341,Audi A3,Small family car
A1,2019,Manual,Petrol,145,51.4,1.0,Audi,4,21654.3,12170.476,Audi A1,Small car
A3,2016,Manual,Petrol,20,60.1,1.4,Audi,7,19374.3,26636.995,Audi A3,Small family car
A1,2017,Manual,Petrol,145,67.3,1.0,Audi,6,16524.3,13850.271999999999,Audi A1,Small car
Q3,2017,Manual,Petrol,145,49.6,1.4,Audi,6,22794.3,29573.42,Audi Q3,Compact SUV
Q3,2017,Semi-Auto,Petrol,145,40.4,2.0,Audi,6,27354.3,43661.824,Audi Q3,Compact SUV
A3,2016,Manual,Petrol,20,60.1,1.4,Audi,7,15954.3,58582.081,Audi A3,Small family car
A3,2018,Manual,Diesel,145,67.3,1.6,Audi,5,19938.6,26355.42,Audi A3,Small family car
A3,2015,Semi-Auto,Diesel,30,64.2,2.0,Audi,8,17088.6,49122.77,Audi A3,Small family car
A3,2017,Manual,Petrol,20,61.4,1.4,Audi,6,15954.3,58567.6,Audi A3,Small family car
A1,2017,Manual,Diesel,145,76.3,1.6,Audi,6,18234.3,24435.882999999998,Audi A1,Small car
A5,2015,Semi-Auto,Diesel,160,50.4,2.0,Audi,8,21648.6,69857.953,Audi A5,Large family car
A5,2018,Semi-Auto,Diesel,145,58.9,3.0,Audi,5,31914.299999999996,20411.774,Audi A5,Large family car
A1,2019,Semi-Auto,Petrol,145,44.1,1.5,Audi,4,27354.3,8617.804,Audi A1,Small car
A5,2020,Semi-Auto,Diesel,145,51.4,2.0,Audi,3,41395.67999999999,11943.607,Audi A5,Large family car
A1,2017,Manual,Petrol,145,67.3,1.0,Audi,6,15954.3,19546.132,Audi A1,Small car
Q3,2016,Manual,Diesel,145,55.4,2.0,Audi,7,21084.3,33711.768,Audi Q3,Compact SUV
Q3,2015,Manual,Petrol,145,49.6,1.4,Audi,8,20514.3,61534.596,Audi Q3,Compact SUV
A3,2019,Manual,Diesel,145,49.6,1.6,Audi,4,23934.3,5349.925,Audi A3,Small family car
Q3,2017,Semi-Auto,Petrol,145,40.4,2.0,Audi,6,28494.3,14606.502,Audi Q3,Compact SUV
A1,2017,Manual,Petrol,145,67.3,1.0,Audi,6,14814.3,36085.043,Audi A1,Small car
A3,2015,Semi-Auto,Petrol,30,58.9,1.4,Audi,8,14238.599999999999,57047.095,Audi A3,Small family car
A3,2017,Manual,Petrol,20,60.1,1.0,Audi,6,16299.72,23502.663,Audi A3,Small family car
A1,2016,Manual,Petrol,30,55.4,1.4,Audi,7,13107.72,40147.768,Audi A1,Small car
A5,2014,Manual,Diesel,30,64.2,2.0,Audi,9,13677.72,79870.76,Audi A5,Large family car
Q3,2017,Manual,Petrol,145,49.6,1.4,Audi,6,22797.719999999998,34715.784,Audi Q3,Compact SUV
Q3,2016,Manual,Diesel,160,49.6,2.0,Audi,7,22794.3,35965.977,Audi Q3,Compact SUV
Q3,2016,Semi-Auto,Diesel,145,55.4,2.0,Audi,7,22794.3,37336.845,Audi Q3,Compact SUV
A1,2017,Manual,Petrol,30,55.4,1.4,Audi,6,15954.3,24715.849,Audi A1,Small car
A3,2019,Semi-Auto,Diesel,145,52.3,1.6,Audi,4,22788.6,9654.0,Audi A3,Small family car
A3,2019,Semi-Auto,Diesel,145,52.3,1.6,Audi,4,22788.6,8365.191,Audi A3,Small family car
A1,2018,Manual,Petrol,145,57.7,1.4,Audi,5,17094.3,24283.028,Audi A1,Small car
A3,2017,Semi-Auto,Petrol,145,43.5,2.0,Audi,6,42168.6,4921.931,Audi A3,Small family car
A3,2013,Manual,Petrol,30,54.3,1.4,Audi,10,13098.599999999999,57608.636,Audi A3,Small family car
A3,2017,Manual,Petrol,30,60.1,1.4,Audi,6,21084.3,38616.0,Audi A3,Small family car
A3,2019,Semi-Auto,Diesel,145,52.3,1.6,Audi,4,27354.3,4614.612,Audi A3,Small family car
Q3,2017,Semi-Auto,Petrol,145,47.9,1.4,Audi,6,21654.3,43534.712999999996,Audi Q3,Compact SUV
A5,2016,Semi-Auto,Diesel,160,52.3,2.0,Audi,7,18807.719999999998,66662.479,Audi A5,Large family car
A3,2017,Manual,Petrol,20,60.1,1.4,Audi,6,18234.3,27353.0,Audi A3,Small family car
A3,2013,Semi-Auto,Petrol,30,56.5,1.4,Audi,10,17094.3,62390.584,Audi A3,Small family car
Q3,2017,Manual,Petrol,145,49.6,1.4,Audi,6,22794.3,35352.948,Audi Q3,Compact SUV
A5,2017,Semi-Auto,Diesel,145,62.8,2.0,Audi,6,28494.3,35536.373999999996,Audi A5,Large family car
Q3,2015,Semi-Auto,Petrol,145,47.9,1.4,Audi,8,22794.3,33507.425,Audi Q3,Compact SUV
A1,2015,Manual,Petrol,30,57.6,1.4,Audi,8,14814.3,32247.578,Audi A1,Small car
A3,2018,Semi-Auto,Petrol,145,43.5,2.0,Audi,5,33054.299999999996,27620.094,Audi A3,Small family car
A3,2018,Semi-Auto,Petrol,145,44.1,2.0,Audi,5,30768.6,29417.346999999998,Audi A3,Small family car
A3,2019,Semi-Auto,Diesel,145,52.3,1.6,Audi,4,22788.6,9682.962,Audi A3,Small family car
A3,2019,Manual,Petrol,145,42.8,1.5,Audi,4,21084.3,18229.97,Audi A3,Small family car
A5,2019,Semi-Auto,Petrol,145,39.8,2.0,Audi,4,35008.259999999995,6962.143,Audi A5,Large family car
A1,2015,Manual,Petrol,30,55.4,1.4,Audi,8,15954.3,51592.585,Audi A1,Small car
Q3,2017,Manual,Diesel,145,61.4,2.0,Audi,6,18798.6,80910.174,Audi Q3,Compact SUV
Q3,2017,Semi-Auto,Petrol,145,40.4,2.0,Audi,6,27354.3,41298.203,Audi Q3,Compact SUV
Q3,2016,Semi-Auto,Diesel,160,50.4,2.0,Audi,7,25074.3,45898.334,Audi Q3,Compact SUV
Q3,2017,Manual,Diesel,145,54.3,2.0,Audi,6,26214.3,22635.412,Audi Q3,Compact SUV
A3,2018,Manual,Petrol,145,50.4,2.0,Audi,5,21648.6,10170.489,Audi A3,Small family car
A3,2019,Manual,Diesel,145,51.4,1.6,Audi,4,27354.3,3354.765,Audi A3,Small family car
A3,2015,Manual,Petrol,30,57.6,1.2,Audi,8,17094.3,80549.758,Audi A3,Small family car
A1,2015,Manual,Petrol,30,57.6,1.4,Audi,8,13674.3,50683.5,Audi A1,Small car
A1,2015,Manual,Petrol,30,57.6,1.4,Audi,8,14814.3,35087.462999999996,Audi A1,Small car
A5,2019,Semi-Auto,Diesel,145,46.3,2.0,Audi,4,31908.6,11608.935,Audi A5,Large family car
A3,2019,Manual,Petrol,145,42.8,1.5,Audi,4,26649.78,7985.467,Audi A3,Small family car
A3,2017,Manual,Petrol,200,40.4,2.0,Audi,6,29634.3,22023.992,Audi A3,Small family car
A3,2017,Semi-Auto,Petrol,30,57.6,1.4,Audi,6,21654.3,31753.614999999998,Audi A3,Small family car
